"hr8","min","sec","dBA","Time"
14,22,0,62.3293667820262,"14:22:0"
14,22,0,62.2689640012674,"14:22:0"
14,22,0,62.3466277176318,"14:22:0"
14,22,0,62.5010352438696,"14:22:0"
14,22,0,62.5434235608555,"14:22:0"
14,22,0,62.0868768910134,"14:22:0"
14,22,0,62.0982780411428,"14:22:0"
14,22,0,62.5052713328121,"14:22:0"
14,22,0,62.6166886156183,"14:22:0"
14,22,0,62.3983443509602,"14:22:0"
14,22,0,62.4656919556406,"14:22:0"
14,22,0,62.3842802094203,"14:22:0"
14,22,0,62.2876186639255,"14:22:0"
14,23,0,62.5003394615328,"14:23:0"
14,23,0,62.4798183043988,"14:23:0"
14,23,0,62.1552048570087,"14:23:0"
14,23,0,62.2316405884186,"14:23:0"
14,23,0,62.4266979180471,"14:23:0"
14,23,0,62.6268045143397,"14:23:0"
14,23,0,62.4719716289819,"14:23:0"
14,23,0,62.4915420893208,"14:23:0"
14,23,0,62.6398835953345,"14:23:0"
14,23,0,62.7939565394167,"14:23:0"
14,23,0,62.4834327916712,"14:23:0"
14,23,0,62.2792285150512,"14:23:0"
14,23,0,62.6962946678818,"14:23:0"
14,23,0,62.1501424579175,"14:23:0"
14,23,0,62.2002793996651,"14:23:0"
14,23,0,62.4118337576141,"14:23:0"
14,23,0,62.1073654681943,"14:23:0"
14,23,0,62.5754976356941,"14:23:0"
14,23,0,62.5488429122196,"14:23:0"
14,23,0,62.2799262871851,"14:23:0"
14,23,0,62.5186365843652,"14:23:0"
14,23,0,62.3643573168823,"14:23:0"
14,23,0,62.4685253926926,"14:23:0"
14,23,0,62.1419167576672,"14:23:0"
14,23,0,62.6885834793212,"14:23:0"
14,23,0,62.3732179916433,"14:23:0"
14,23,0,62.4297764952654,"14:23:0"
14,23,0,62.4239314197758,"14:23:0"
14,23,0,62.4549465143128,"14:23:0"
14,23,0,62.4166636671,"14:23:0"
14,23,0,62.3317060830757,"14:23:0"
14,23,0,62.4803621730516,"14:23:0"
14,23,0,62.5133150961492,"14:23:0"
14,23,0,62.7115927582285,"14:23:0"
14,23,0,62.4562021376188,"14:23:0"
14,23,0,62.451055550754,"14:23:0"
14,23,0,62.4854364426919,"14:23:0"
14,23,0,62.2401066803196,"14:23:0"
14,23,0,62.6893702772788,"14:23:0"
14,23,0,62.6038662572654,"14:23:0"
14,23,0,62.3035573378684,"14:23:0"
14,23,0,62.8080189443662,"14:23:0"
14,23,0,62.6947867469451,"14:23:0"
14,23,0,62.6816466193652,"14:23:0"
14,23,0,62.4643600343716,"14:23:0"
14,23,0,62.6223705867103,"14:23:0"
14,23,0,62.5359518712747,"14:23:0"
14,23,0,62.1581217932685,"14:23:0"
14,23,0,62.570043911809,"14:23:0"
14,23,0,62.2814082835111,"14:23:0"
14,23,0,62.2406922371065,"14:23:0"
14,23,0,62.3386891004581,"14:23:0"
14,23,0,62.3517665180949,"14:23:0"
14,23,0,62.5216786575904,"14:23:0"
14,23,0,62.6552739662368,"14:23:0"
14,23,0,62.4370553822692,"14:23:0"
14,23,0,62.5333842685609,"14:23:0"
14,23,0,62.4176913090256,"14:23:0"
14,24,0,62.4635830775064,"14:24:0"
14,24,0,62.4557265419331,"14:24:0"
14,24,0,62.2797118702517,"14:24:0"
14,24,0,62.5175946003566,"14:24:0"
14,24,0,62.8116668879716,"14:24:0"
14,24,0,62.48917099519,"14:24:0"
14,24,0,62.6110563386127,"14:24:0"
14,24,0,62.3855372344754,"14:24:0"
14,24,0,62.0611838803399,"14:24:0"
14,24,0,62.2442812592648,"14:24:0"
14,24,0,62.1984521846105,"14:24:0"
14,24,0,62.370997758164,"14:24:0"
14,24,0,62.4483209784092,"14:24:0"
14,24,0,62.588886969563,"14:24:0"
14,24,0,62.3914597271133,"14:24:0"
14,24,0,62.2393999252103,"14:24:0"
14,24,0,62.3948294900263,"14:24:0"
